step,elapsed_time_min,duration_min,rainfall_mm_hr,maximum_depth_m,stored_volume_m3,ponded_area_m2
1,60.0,60.0,23.3478260869565,0.0,0.0,0.0
2,120.0,60.0,23.3478260869565,0.0,0.0,0.0
3,180.0,60.0,23.3478260869565,0.0,0.0,0.0
4,240.0,60.0,23.3478260869565,0.0,0.0,0.0
5,300.0,60.0,23.3478260869565,0.0,0.0,0.0
6,360.0,60.0,23.3478260869565,0.0,0.0,0.0
7,420.0,60.0,23.3478260869565,0.0,0.0,0.0
8,480.0,60.0,23.3478260869565,0.0,0.0,0.0
9,540.0,60.0,23.3478260869565,0.0,0.0,0.0
10,600.0,60.0,23.3478260869565,0.0,0.0,0.0
11,660.0,60.0,23.3478260869565,0.0,0.0,0.0
12,720.0,60.0,153.0,7.320000648498535,213479.57062918865,1838738.8653434515
13,780.0,60.0,23.3478260869565,7.270000457763672,135150.8421705796,1144199.7951277494
14,840.0,60.0,23.3478260869565,7.220000743865967,91791.09707652364,383561.928685911
15,900.0,60.0,23.3478260869565,7.1700005531311035,74854.51717107277,250383.83066482097
16,960.0,60.0,23.3478260869565,7.120000839233398,63541.3491355062,175906.24094225094
17,1020.0,60.0,23.3478260869565,7.070000648498535,55607.96623132402,127081.68278058991
18,1080.0,60.0,23.3478260869565,7.020000457763672,49709.741094731115,97347.8848900944
19,1140.0,60.0,23.3478260869565,6.970000743865967,45126.056949018675,79206.02778824791
20,1200.0,60.0,23.3478260869565,6.9200005531311035,41378.24799872083,64602.21996543929
21,1260.0,60.0,23.3478260869565,6.870000839233398,38290.103759248326,55087.185666806996
22,1320.0,60.0,23.3478260869565,6.820000648498535,35682.07765904467,46791.82333398983
23,1380.0,60.0,23.3478260869565,6.770000457763672,33437.365382448304,41311.745642822236
24,1440.0,60.0,23.3478260869565,6.720000743865967,31442.060667750942,36900.63335157931
